LotArea,BedroomAbvGr,SalePrice
8450,3,208500
9600,3,181500
11250,3,223500
9550,3,140000
14260,4,250000
14115,1,143000
10084,3,307000
10382,3,200000
6120,2,129900
7420,2,118000
11200,3,129500
11924,4,345000
12968,2,144000
10652,3,279500
10920,2,157000
6120,2,132000
11241,2,149000
10791,2,90000
13695,3,159000
7560,3,139000
14215,4,325300
7449,3,139400
9742,3,230000
4224,3,129900
8246,3,154000
14230,3,256300
7200,3,134800
11478,3,306000
16321,2,207500
6324,1,68500
8500,3,40000
8544,3,149350
11049,3,179900
10552,4,165500
7313,2,277500
13418,4,309000
10859,3,145000
8532,3,153000
7922,3,109000
6040,2,82000
8658,3,160000
16905,2,170000
9180,2,144000
9200,3,130250
7945,3,141000
7658,2,319900
12822,1,239686
11096,3,249700
4456,2,113000
7742,3,127000
13869,3,177000
6240,3,114500
8472,2,110000
7134,3,130000
10175,3,180500
2645,3,172500
11645,3,196500
13682,3,438780
7200,2,124900
13072,3,158000
7200,3,101000
6442,2,202500
10300,3,140000
9375,3,219500
9591,4,317000
19900,3,180000
10665,3,226000
4608,2,80000
15593,3,225000
13651,3,244000
7599,2,129500
10141,3,185000
10200,3,144900
5790,3,107400
1596,2,91000
8475,2,135750
8635,2,127000
10778,4,136500
10440,2,110000
13000,4,193500
4500,2,153500
10206,3,245000
8892,3,126500
8530,3,168500
16059,4,260000
11911,3,174000
3951,2,164500
8470,2,85000
8070,3,123600
7200,2,109900
8500,2,98600
13360,2,163500
7200,4,133900
9337,3,204750
9765,3,185000
10264,3,214000
10921,3,94750
10625,2,83000
9320,3,128950
10603,3,205000
9206,3,178000
7018,4,118964
10402,3,198900
7758,4,169500
9375,3,250000
10800,2,100000
6000,2,115000
8500,3,115000
11751,3,190000
9525,4,136900
7750,3,180000
9965,4,383970
21000,3,217000
7259,3,259500
3230,2,176000
11616,3,139000
8536,2,155000
12376,5,320000
8461,3,163990
21453,1,180000
6060,3,100000
9464,3,136000
7892,2,153900
17043,3,181000
6780,2,84500
4928,2,128000
4388,3,87000
7590,3,155000
8973,3,150000
14200,4,226000
12224,3,244000
7388,3,150750
6853,2,220000
10335,3,180000
10400,3,174000
10355,3,143000
11070,5,171000
9066,3,230000
15426,3,231500
10500,3,115000
11645,3,260000
8520,4,166000
10335,3,204000
9100,6,125000
2522,3,130000
6120,2,105000
9505,3,222500
7500,3,141000
6240,3,115000
10356,3,122000
13891,2,372402
14803,4,190000
13500,1,235000
11340,4,125000
9600,2,79000
7200,2,109500
12003,4,269500
12552,3,254900
19378,4,320000
11120,3,162500
13688,3,412500
12182,3,220000
5500,1,103200
5400,3,152000
10106,4,127500
10708,2,190000
10562,3,325624
8244,3,183500
16669,2,228000
12358,2,128500
31770,3,215000
5306,2,239000
10197,3,163000
12416,3,184000
12615,4,243000
10029,4,211000
13650,4,172500
17423,1,501837
8520,2,100000
2117,3,177000
7588,4,200100
9060,3,120000
11426,3,200000
7438,3,127000
22950,4,475000
9947,3,173000
10410,3,135000
7018,2,153337
10570,3,315000
7472,4,184000
9017,3,192000
2522,3,130000
7180,3,127000
2280,3,148500
9416,3,311872
25419,4,235000
5520,5,104000
9591,3,274900
8546,2,140000
10125,3,171500
7000,2,112000
4438,1,149000
3500,2,110000
11851,3,180500
13673,3,143900
12493,3,141000
14364,3,277000
8250,3,145000
5604,2,98000
10420,3,186000
8640,3,252678
13568,3,156000
10900,3,161750
10011,2,134450
8450,3,210000
9906,3,107000
15660,3,311500
3010,2,167240
8990,2,204900
8068,4,200000
11475,3,179900
10500,2,97000
13472,3,386250
1680,3,112000
9950,4,290000
1869,2,106000
8521,3,125000
3182,2,192500
8760,3,148000
15138,4,403000
1680,2,94500
10650,3,128200
7851,4,216500
1680,2,89500
8773,3,185500
9453,3,194500
12030,3,318000
8741,3,113000
9000,3,262500
3880,2,110500
5000,3,79000
10762,3,120000
8880,3,205000
10400,3,241500
9142,4,137000
11310,2,140000
11317,3,180000
5350,3,76500
4750,2,235000
8366,3,173000
9350,3,158000
8400,3,145000
8738,4,230000
8791,3,207500
8814,3,220000
12435,3,231500
12702,2,97000
19296,3,176000
9588,3,276000
8471,3,151000
5500,3,130000
5232,2,73000
12090,3,175500
11207,3,185000
8400,4,179500
6900,2,120500
7917,3,148000
10728,3,266000
39104,2,241500
11764,4,290000
9600,3,139000
8314,2,124500
7264,3,205000
9196,3,201000
19138,2,141000
14450,3,415298
10005,4,192000
11287,3,228500
7200,2,185000
5063,2,207500
9612,3,244600
8012,2,179200
4251,2,164700
9786,3,159000
8125,3,88000
9819,3,122000
8730,3,153575
15611,3,233230
5687,6,135900
11409,3,131000
16659,3,235000
9600,3,167000
7937,3,142500
13710,4,152000
7399,3,239000
11700,3,175000
14000,3,158500
15750,2,157000
16226,4,267000
13704,3,205000
9800,3,149900
18386,3,295000
10386,3,305900
13474,4,225000
7920,3,89500
12342,1,82500
12378,3,360000
7685,3,165600
8000,2,132000
7800,3,119900
9600,3,178000
7795,3,188500
13005,4,260000
9000,3,270000
9900,4,260000
14115,3,187500
16259,4,342643
12099,4,354000
10380,4,301000
5820,3,126175
11275,5,242000
5000,2,87000
10846,1,324000
11600,3,145250
11888,5,214500
6402,3,78000
10624,6,119000
8176,3,139000
10655,3,284000
8198,2,207000
9042,3,192000
14157,3,377426
9135,3,214000
14145,3,202500
12400,3,155000
14191,4,202900
8400,2,82000
8544,2,87500
8849,2,266000
2592,3,85000
6435,3,140200
12772,2,151500
17600,3,157500
2448,2,154000
20431,4,437154
